organization,location,veg_type,year_burned,freq_burned
EINP,EINP-SRS-2,grassland,1993,5
EINP,EINP-SRS-2,grassland,2022,5
EINP,EINP-TWG-11,,2000,1
EINP,EINP-TWG-12,,2000,1
EINP,EINP-TWG-13,,1983,3
EINP,EINP-TWG-13,,1991,3
EINP,EINP-TWG-13,,2000,3
EINP,EINP-TWG-14,,1983,4
EINP,EINP-TWG-14,,1985,4
EINP,EINP-TWG-14,,1991,4
EINP,EINP-TWG-14,,2000,4
EINP,EINP-WAL-11,,2000,1
EINP,EINP-WAL-12,,2000,1
EINP,EINP-WAL-13,,2000,1
EINP,EINP-WAL-14,,2000,1
EINP,EINP-WLG-1,,2000,1
EINP,EINP-WLG-2,,2000,1
BNP,CMPDMED-1,montane,2023,1
BNP,CMPDMED-2,montane,NA,0
BNP,CMPDMED-3,montane,NA,0
BNP,CMPDMED-5,montane,2023,1
PANP,ASU1,boreal,NA,16
PANP,ASU2,boreal,NA,16
PANP,ASU3,boreal,NA,16
PANP,ARU4,boreal,NA,16
PANP,ARU5,boreal,NA,16
PANP,ARU6,boreal,NA,16
RMNP,LA01,mixedwood,1994,4
RMNP,LA01,mixedwood,2004,4
RMNP,LA01,mixedwood,2010,4
RMNP,LA01,mixedwood,2023,4
RMNP,LA02,mixedwood,1994,4
RMNP,LA02,mixedwood,2004,4
RMNP,LA02,mixedwood,2010,4
RMNP,LA02,mixedwood,2023,4
RMNP,LA03,mixedwood,1994,4
RMNP,LA03,mixedwood,2004,4
RMNP,LA03,mixedwood,2010,4
RMNP,LA03,mixedwood,2023,4
RMNP,LA04,mixedwood,1994,4
RMNP,LA04,mixedwood,2004,4
RMNP,LA04,mixedwood,2010,4
RMNP,LA04,mixedwood,2023,4
RMNP,LA07,mixedwood,1994,4
RMNP,LA07,mixedwood,2004,4
RMNP,LA07,mixedwood,2010,4
RMNP,LA07,mixedwood,2023,4
RMNP,FE50,mixedwood,1994,4
RMNP,FE50,mixedwood,2004,4
RMNP,FE50,mixedwood,2010,4
RMNP,FE50,mixedwood,2023,4
RMNP,FE51,mixedwood,1994,4
RMNP,FE51,mixedwood,2004,4
RMNP,FE51,mixedwood,2010,4
RMNP,FE51,mixedwood,2023,4
RMNP,FE52,mixedwood,1994,4
RMNP,FE52,mixedwood,2004,4
RMNP,FE52,mixedwood,2010,4
RMNP,FE52,mixedwood,2023,4
RMNP,FE53,mixedwood,1994,4
RMNP,FE53,mixedwood,2004,4
RMNP,FE53,mixedwood,2010,4
RMNP,FE53,mixedwood,2023,4
RMNP,FE54,mixedwood,2003,4
RMNP,FE54,mixedwood,2007,4
RMNP,FE54,mixedwood,2008,4
RMNP,FE54,mixedwood,2025,4
RMNP,FE55,mixedwood,2003,4
RMNP,FE55,mixedwood,2007,4
RMNP,FE55,mixedwood,2008,4
RMNP,FE55,mixedwood,2025,4
RMNP,FE56,mixedwood,2003,4
RMNP,FE56,mixedwood,2007,4
RMNP,FE56,mixedwood,2008,4
RMNP,FE56,mixedwood,2025,4
RMNP,FE57,mixedwood,2003,4
RMNP,FE57,mixedwood,2007,4
RMNP,FE57,mixedwood,2008,4
RMNP,FE57,mixedwood,2025,4
RMNP,BA01,mixedwood,2014,3
RMNP,BA01,mixedwood,2016,3
RMNP,BA01,mixedwood,2025,3
RMNP,BA02,mixedwood,2014,3
RMNP,BA02,mixedwood,2016,3
RMNP,BA02,mixedwood,2025,3
RMNP,BA06,mixedwood,2014,3
RMNP,BA06,mixedwood,2016,3
RMNP,BA06,mixedwood,2025,3
RMNP,BA09,mixedwood,2014,3
RMNP,BA09,mixedwood,2016,3
RMNP,BA09,mixedwood,2025,3
PUNP,FIRE1,mixedwood,NA,0
PUNP,FIRE2,mixedwood,NA,0
PUNP,Ref50-76,mixedwood,NA,0
PUNP,RefM75-93,mixedwood,NA,0
PUNP,HookM50-105,mixedwood,NA,0
PUNP,HookM75-160,mixedwood,NA,0
PUNP,RANDOM_HOOKM50-105,mixedwood,NA,0
PUNP,Random_HookM75-160,mixedwood,NA,0
PUNP,Random_Ref50-76,mixedwood,NA,0
PUNP,Random_RefM75-93,mixedwood,NA,0
LMNP,LMNP-GEN-1,mixedwood,NA,0
LMNP,LMNP-GEN-2,mixedwood,NA,0
LMNP,LMNP-GEN-3,mixedwood,NA,0
LMNP,LMNP-HAM-1,mixedwood,NA,0
LMNP,LMNP-HAM-2,mixedwood,NA,0
LMNP,LMNP-HAM-3,mixedwood,NA,0
LMNP,LMNP-MOD-1,mixedwood,NA,1
LMNP,LMNP-MOD-2,mixedwood,NA,1
LMNP,LMNP-MOD-3,mixedwood,NA,1
LMNP,LMNP-GEN-4,mixedwood,NA,0
LMNP,LMNP-GEN-5,mixedwood,NA,0
LMNP,LMNP-GEN-6,mixedwood,NA,0
KNPR,AC-C2,boreal,NA,0
KNPR,AC-T1,boreal,NA,0
KNPR,AC-T2,boreal,NA,0
KNPR,JR-C1,boreal,NA,0
KNPR,JR-C2,boreal,NA,0
KNPR,JR-T1,boreal,NA,0
KNPR,JR-T2,boreal,NA,0
KNPR,JR-T3,boreal,NA,0
GRNP,GNP-TS-1,grassland,NA,0
GRNP,GNP-TS-2,grassland,NA,0
GRNP,GNP-TS-3,grassland,NA,0
GRNP,GNP-TS-4,grassland,NA,0
GRNP,GNP-TS-5,grassland,NA,0
GRNP,GNP-LSLO-1,grassland,NA,0
GRNP,GNP-LSLO-2,grassland,NA,0
GRNP,GNP-LSLO-3,grassland,NA,0
GRNP,GNP-LSLO-4,grassland,NA,0
GRNP,GNP-LSLO-5,grassland,NA,0
GRNP,GNP-LSLO-6,grassland,NA,0
GRNP,GNP-LSLO-7,grassland,NA,0
GRNP,GNP-LSLO-8,grassland,NA,0
GRNP,GNP-LSLO-9,grassland,NA,0
